,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,V1_Vehicle,V2_Driver_,Pedalcycli,Pedestrian,Motorcycli,V1_Type
0,0.0,3.0,0.0,0.0,1.14010695187166,0.564128095760449,9.0,0.0,4.0,1.03,1.89625,0.0,0.0,4.0,,,,,,
1,1.0,3.0,0.0,8.0,0.89,1.29622377622378,7.68910256410256,0.0,1.0,1.12,1.0,1.0,1.0,3.0,,,,,,
2,0.0,6.0,1.0,8.0,1.16,0.49242887332903,8.67736225895317,0.0,1.0,1.07,1.81033333333333,0.0,0.0,3.0,,,,,,
3,3.0,16.0,0.0,4.77690562129392,1.19066666666667,2.03252792553323,8.55618772415062,0.0,1.0,1.07,1.95416120721384,0.0,0.0,3.0,,,,,,
4,1.0,3.0,0.0,0.0,1.1834398034398,1.13698531937342,7.08195374921938,0.0,1.0,1.04,1.93830952380952,0.0,0.0,3.0,,,,,,
5,3.0,3.0,1.0,3.32849770394117,1.5,2.32857668216806,7.35460363662592,0.0,1.0,1.05,2.11157787388051,0.0,0.0,3.0,,,,,,
6,0.0,15.0,1.0,11.0,0.0,0.0,14.0,1.0,2.0,1.18,1.77476506024096,0.0,0.0,0.0,,,,,,
7,2.0,3.0,3.0,4.83642983796389,1.73333333333333,1.84692307692308,6.82080357142857,0.0,1.0,1.09,2.0,1.0,1.0,3.0,,,,,,
8,0.0,3.0,2.0,8.0,1.06,0.430725574993378,9.0,2.0,6.0,1.07,1.77761904761905,0.0,0.0,4.0,,,,,,
9,2.0,3.0,1.0,3.14509259259259,4.0,3.0,13.0,1.0,2.0,1.22166666666667,1.92192456944342,0.0,0.0,0.0,,,,,,
10,0.0,14.0,0.0,0.0,1.08,1.16759796898311,8.66028887470325,0.0,1.0,1.09,1.85541666666667,0.0,0.0,3.0,,,,,,
11,1.0,3.0,4.0,0.0,0.0,1.0,12.0,4.0,2.0,1.01,1.0,1.0,1.0,4.0,,,,,,
12,1.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,1.06,1.96632160453688,0.0,0.0,4.0,,,,,,
13,1.0,3.0,1.0,0.0,0.0,1.0,12.0,1.0,2.0,1.03,1.88072579461113,0.0,0.0,4.0,,,,,,
14,1.0,3.0,4.0,0.0,0.0,1.0,12.0,4.0,3.0,1.015,1.77586477919844,0.0,0.0,4.0,,,,,,
15,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.02,2.04967273954116,0.0,0.0,4.0,,,,,,
