V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
E,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,,,PARKED,0,0,4,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: RAN OFF ROAD",,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,NOT REPORTED,1,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 2 DOOR"
W,UNKNOWN,0,,HIT AND RUN: UNKNOWN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,SEDAN
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,1,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,TURNING RIGHT,1,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,TURNING RIGHT,1,48,2,,,0,PDO,ANGLE,,,,"SEDAN, 2 DOOR"
S,GOING STRAIGHT,3,,HIT AND RUN,,,,0,0,1,,C,1,,NON-COLLISION,,YES,,
E,GOING STRAIGHT,2,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,PARKED,2,0,6,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,,FAILED TO YIELD RIGHT OF WAY: HIT AND RUN,HAD BEEN DRINKING,W,TURNING LEFT,1,25,2,,,0,PDO,ANGLE,,,,CARRY-ALL
E,TURNING LEFT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: OVER-CORRECTING/OVER-STEERING: RAN OFF ROAD,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,4,22,2,,B,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,HIT AND RUN,APPARENTLY NORMAL,N,STOPPED,0,49,2,,,0,PDO,REAR-END,,,,PICKUP
N,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,1,43,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,4,21,3,,,0,PDO,REAR-END,,,,UTILITY
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,0,24,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 2 DOOR"
S,GOING STRAIGHT,0,HAD BEEN DRINKING,,APPARENTLY NORMAL,S,TURNING LEFT,0,23,3,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,1,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",S,GOING STRAIGHT,1,16,3,,,0,PDO,ANGLE,,,,VAN
N,NOT REPORTED,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,BACKING UP,1,APPARENTLY NORMAL,UNSAFE BACKING,APPARENTLY NORMAL,W,GOING STRAIGHT,1,23,2,,C,1,,ANGLE,,,,PICKUP
N,NOT REPORTED,0,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
S,CHANGING LANES,2,,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,22,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,5,27,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
N,GOING STRAIGHT,0,INATTENTION/DISTRACTED: DRUG INVOLVEMENT,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,UTILITY
