"X","V1_Dir","V1_Action","V1_Lane_Nu","V1_Driver1","V1_Vehicle","V2_Driver1","V2_Dir","V2_Action","V2_Lane_Nu","V2_Driver_","Total_Vehi","Fatalities","Injury_Typ","Injured","Property_D","Crash_Type","Pedalcycli","Pedestrian","Motorcycli","V1_Type"
0,0,3,0,0,244,1.14010695187166,0.564128095760449,9,0,0,4,1.03,1.89625,0,0,4,1,1,1,21
1,1,3,0,8,28,0.89,1.29622377622378,7.68910256410256,0,0,1,1.12,1,1,1,3,1,1,1,39
2,0,6,1,8,179,1.16,0.49242887332903,8.67736225895317,0,0,1,1.07,1.81033333333333,0,0,3,1,1,1,38
3,3,16,0,4.77690562129392,199,1.19066666666667,2.03252792553323,8.55618772415062,0,0,1,1.07,1.95416120721384,0,0,3,1,1,1,37
4,1,3,0,0,179,1.1834398034398,1.13698531937342,7.08195374921938,0,0,1,1.04,1.93830952380952,0,0,3,1,1,1,39
5,3,3,1,3.32849770394117,157,1.5,2.32857668216806,7.35460363662592,0,0,1,1.05,2.11157787388051,0,0,3,1,1,1,39
6,0,15,1,11,115,0,0,14,1,48,2,1.18,1.77476506024096,0,0,0,1,1,1,38
7,2,3,3,4.83642983796389,194,1.73333333333333,1.84692307692308,6.82080357142857,0,0,1,1.09,2,1,1,3,1,0,1,25.4724694154084
8,0,3,2,8,179,1.06,0.430725574993378,9,2,0,6,1.07,1.77761904761905,0,0,4,1,1,1,39
9,2,3,1,3.14509259259259,136,4,3,13,1,25,2,1.22166666666667,1.92192456944342,0,0,0,1,1,1,7
10,0,14,0,0,74,1.08,1.16759796898311,8.66028887470325,0,0,1,1.09,1.85541666666667,0,0,3,1,1,1,7
11,1,3,4,0,185,0,1,12,4,22,2,1.01,1,1,1,4,1,1,1,39
12,1,3,0,0,194,0,1,12,0,49,2,1.06,1.96632160453688,0,0,4,1,1,1,34
13,1,3,1,0,118.800336147523,0,1,12,1,43,2,1.03,1.88072579461113,0,0,4,1,1,1,39
14,1,3,4,0,120.17249875841,0,1,12,4,21,3,1.015,1.77586477919844,0,0,4,1,1,1,48
15,1,3,0,0,35,0,1,3,0,24,2,1.02,2.04967273954116,0,0,4,1,1,1,20
16,2,3,0,8,67.3197106731692,0,2,13,0,23,3,1.39166666666667,2,2,1,0,1,1,1,39
17,2,6,1,3,175,0.72,1.96643772893773,6.08172023809524,0,0,1,1.02,2,1,1,3,1,1,1,7
18,2,1,1,0,267,2,2,3,1,16,3,1.09,2.07234375,0,0,0,1,1,1,49
19,1,6,0,0,179,0.38,1.15274281970676,7.60233096872674,0,0,1,1,1.76391791044776,0,0,3,1,1,1,39
20,3,0,1,0,266,0,3,3,1,23,2,1.18166666666667,2,1,1,0,1,1,1,34
21,1,6,0,3,179,0.380666666666667,1.13160409233584,8.18284308956888,0,0,1,1,1.8925,0,0,3,1,1,1,21
22,2,1,2,7.11022606164881,201,0,2,3,2,22,2,1.01,2.00844450903693,0,0,7,1,1,1,33.4885677731613
23,1,3,0,0,129.003210936005,0,1,12,5,27,2,1.03,1.84722083949276,0,0,4,1,1,1,19
24,1,3,0,18,175,0.2,1.29785008385008,7.87569835680751,0,0,1,1,2,1,1,3,1,1,1,39
25,2,3,0,8,179,0.38,1.91477011378792,8.3299020466076,0,0,1,1.01,2.12958333333333,0,0,3,1,1,1,48
26,2,3,1,0,35,0,2,12,1,23,2,1.20666666666667,2.0356097034068,0,0,0,1,1,1,39
27,2,3,2,0,134.05718582789,0,2,3,2,66,2,1.06,2,4,1,4,1,1,1,39
28,0,3,1,8,79,0,0,12,1,36,2,1.17,1.86221271552685,0,0,4,1,1,1,39
29,1,3,2,8,35,0,1,12,2,35,2,1.1,1.9720817178785,0,0,4,1,1,1,19
30,1,3,0,0,203,0,1,3,0,35,2,1.03,2.02852380952381,0,0,8,1,1,1,39
31,1,6,0,8,179,0.22,1.12148870772046,8.20355899238406,0,0,1,1,1.77916666666667,0,0,3,1,1,1,39
32,1,3,0,8,233,0.203636363636364,1.19354384969975,8.59930416300971,0,0,1,1,1.91851851851852,0,0,3,1,1,1,39
33,2,1,0,0,267,0,2,3,5,62,2,1.03,2.00928650037893,0,0,6,1,1,1,39
34,2,3,0,1.5005351975352,56,0,2,12,5,53,3,1.24666666666667,2,2,1,4,1,1,1,34
35,1,3,0,8,179,0.14,1.34995109395109,7.07476780125196,0,0,1,1,2,1,1,3,1,1,1,34
36,1,6,0,8,179,0,1,3,0,42,2,1.12,2,1,1,0,1,1,1,39
37,3,3,0,3.86675968329916,27,0,2,3,0,18,2,1.25166666666667,1,1,1,0,1,1,1,34
38,2,3,0,7.60259028643956,199,0,2,12,0,40,2,1.09,2.09254070649864,0,0,4,1,1,1,31.237693809068
39,0,14,0,0,115,0,3,3,0,46,3,1.23,1,1,1,0,1,1,1,7
40,1,6,0,8,179,0.406666666666667,1.19900549450549,6.84068560606061,0,0,1,1.01,1,1,1,3,1,1,1,7
41,1,6,2,3.28616097760242,157,0,2,3,2,47,2,1.05,2,1,1,6,1,1,1,30.463647039897
42,1,3,4,0,35,0,1,3,4,29,2,1.04,2.10946241586129,0,0,4,1,1,1,7
43,1,3,4,0,185,0,1,12,4,39,2,1.03,2.02575416877069,0,0,4,1,1,1,39
44,0,13,0,8,79,0.163333333333333,1.41495951332868,9,0,0,2,1.16,1.96775,0,0,0,1,1,1,37
45,2,1,3,0,267,0,2,3,3,40,2,1.01,2.1254057225546,0,0,7,1,1,1,39
46,1,3,3,0,185,0,1,3,3,26,3,1.015,2.03302674369033,0,0,4,1,1,1,39
47,1,3,4,1.74246018641324,35,0,1,12,4,23,2,1.14,2,1,1,4,1,1,1,39
48,2,3,2,1,135.28732747976,0,2,12,2,29,2,1.06,2.08436143495624,0,0,4,1,1,1,49
49,3,3,0,0,76.234674143063,0,0,13,0,31,2,1.33166666666667,2,1,1,0,1,1,1,20
50,1,3,1,0,35,0,2,3,1,28,2,1.08,2.14989515466284,0,0,4,1,1,1,39
51,1.22842421462637,6,0,3.98903098405413,127.066956826197,0,0,3,0,24,2,1.135,2,1,1,0,1,1,1,27.8860793650794
52,0,3,0,5.00653174603175,19,0,1,3,0,0,2,1.1,2,1,1,0,1,1,1,30.4616214514273
53,0,3,0,0,0,0,3,13,0,34,3,1.25666666666667,1.86064393529273,0,0,0,1,1,1,39
54,1,1,2,7.21122801298697,201,0,1,3,2,40,2,1.03,2.0569176273165,0,0,7,1,1,1,39
55,2,3,0,0,0,0,2,14,0,20,2,1.16666666666667,2.05070174945988,0,0,4,1,1,1,39
56,2,16,3,0,265,0,2,15,3,21,2,1.13,1.99147715112603,0,0,7,1,1,1,34
57,3,3,0,5.38984892577113,157,0.66,2.28494941937384,7.67212461988011,0,0,1,1.02,2.07238927738928,0,0,3,1,1,1,7
58,2,3,3,0,98,0,2,3,3,54,2,1.21916666666667,2,1,1,0,1,1,1,20
59,1,3,0,8,179,0.248311688311688,1.18039787405377,8.3929020466076,0,0,1,1,1.9725,0,0,3,1,1,1,39
60,1,16,0,5.87004970358851,179,0.2,1.14598281236835,8.54909006331255,0,0,1,1,1.83791666666667,0,0,3,1,1,1,39
61,2,3,0,0,143.466532276362,0.44,1.9376339869281,4.85505581576893,0,0,1,1,3,0,1,3,1,0,1,7
62,3,3,2,0,149.352694099379,4,3,9,2,35,2,1.15166666666667,1.95846153846154,0,0,3,1,1,1,7
63,0,3,1,17,244,0,0,12,1,31,2,1.11,2,6,1,4,1,1,1,7
64,1,3,4,0,137.083960977282,0,1,3,4,39,3,1.02,2,1,1,4,1,1,1,39
65,2,3,2,8,244,0.42,1.72,9,2,0,3,1.1,2,1,1,0,1,1,1,39
66,1,3,0,0,35,0.05,1.24078787878788,6.24595573870574,0,0,1,1.02,1,1,1,3,1,1,1,20
67,1,10,3,24,201,0,1,3,3,43,2,1.01,2.00327477017365,0,0,7,1,1,1,39
