,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,8.032707337734667e-13,1.1763842603781224e-43,3.864507501219525e-16,0.035697631086122915,0.218899917886069,0.0,0.1124714870657749,1.720354528422422e-81,8.021656997821306e-05,0.0020971713603913696,2.4030322168098277e-119,4.375733581162253e-07,1.033386063235444e-12,6.955553134580375e-11,2.2871137521325314e-16,0.0002528138101117928,5.5805557819861324e-11,0.10863160998277639,0.9653296399120245
V1_Action,8.032707337734667e-13,0.0,9.555575931161001e-36,0.00210060025967526,0.0005644499195255026,2.6957995327096736e-05,1.9969637659157146e-13,1.05636999833277e-37,2.405151216716748e-32,1.5760704173707183e-12,1.2487797588813468e-16,0.00417703407692405,2.7309661836030543e-25,7.977916796911497e-22,5.456639063542033e-22,0.0,0.002303405515050901,0.08587984010408188,0.006075392953020234,0.009590010434795007
V1_Lane_Nu,1.1763842603781224e-43,9.555575931161001e-36,0.0,0.8375655362822692,6.148487863585583e-10,4.479677359937276e-49,2.560734133766143e-111,5.833651116457887e-39,0.0,2.5340307566133812e-138,0.01670822601172085,1.0327472610174558e-23,0.0002508096927420624,0.05352691388381584,0.017491000385237973,1.206169459645137e-105,0.008826773545030402,0.4874808114939224,0.09115857753684957,5.153426336388401e-10
V1_Driver1,3.864507501219525e-16,0.00210060025967526,0.8375655362822692,0.0,1.6211819459754299e-223,1.8065656523753475e-101,1.1468302188297574e-42,2.3463257529264892e-54,0.11358103339114425,9.248412330358424e-10,7.290416852388348e-18,5.96801240052598e-28,2.3019489615776167e-17,7.089447570005593e-19,1.1723169035422603e-14,9.576945538258663e-24,0.18486327735325858,0.05838473319598453,0.3479936418071664,7.729243679611504e-54
V1_Vehicle,0.035697631086122915,0.0005644499195255026,6.148487863585583e-10,1.6211819459754299e-223,0.0,6.587356271202976e-98,1.540382381632722e-22,4.2823932646879916e-165,0.6204096501916891,2.6061171631755695e-20,5.833421313029561e-27,7.170380088686547e-113,1.6015815110841066e-34,1.8978742947397875e-39,2.8522169997988814e-31,3.5379101622499436e-24,1.0362912105210838e-05,0.00018980907647177012,0.7055585652797106,4.1358978642670825e-29
V2_Driver1,0.218899917886069,2.6957995327096736e-05,4.479677359937276e-49,1.8065656523753475e-101,6.587356271202976e-98,0.0,0.0,0.0,4.224538595263099e-292,0.0,0.0,0.0,2.5918734243210586e-41,1.7926465954415658e-56,2.1744547600558075e-26,0.0,3.6550315194806975e-79,2.121245970951043e-149,0.0015117394972244409,0.12469200574901589
V2_Dir,0.0,1.9969637659157146e-13,2.560734133766143e-111,1.1468302188297574e-42,1.540382381632722e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.928546050196332e-19,3.642193604347454e-05,2.4753378807853224e-05,0.2718489574350734,0.0,9.98646395349157e-52,1.9601996155338785e-94,0.028122485462335742,0.3241588230938214
V2_Action,0.1124714870657749,1.05636999833277e-37,5.833651116457887e-39,2.3463257529264892e-54,4.2823932646879916e-165,0.0,0.0,0.0,1.5889001317054373e-222,0.0,0.0,0.0,1.0850054507704771e-21,3.6043917303867853e-41,2.401683555218801e-18,9.931682056143399e-44,3.0655686520785513e-59,5.679671212544968e-106,0.5658630163305769,0.0046645529984319515
V2_Lane_Nu,1.720354528422422e-81,2.405151216716748e-32,0.0,0.11358103339114425,0.6204096501916891,4.224538595263099e-292,0.0,1.5889001317054373e-222,0.0,0.0,2.1314137919315784e-35,0.22042839145149395,5.2294661153120625e-05,0.027722777742029817,0.17688134426151314,4.164024850517244e-257,1.3713134800092965e-19,6.769638283442791e-31,0.35239809587507265,9.584764204469552e-09
V2_Driver_,8.021656997821306e-05,1.5760704173707183e-12,2.5340307566133812e-138,9.248412330358424e-10,2.6061171631755695e-20,0.0,0.0,0.0,0.0,0.0,1.398300707939873e-253,1.0085929930593143e-107,1.061283441357597e-134,1.453965851192097e-168,1.959087482178433e-134,1.056679903072564e-245,2.7274065746421396e-39,7.526705563179749e-70,0.9025080768028853,0.013394641485725096
Total_Vehi,0.0020971713603913696,1.2487797588813468e-16,0.01670822601172085,7.290416852388348e-18,5.833421313029561e-27,0.0,0.0,0.0,2.1314137919315784e-35,1.398300707939873e-253,0.0,3.618499846349764e-74,2.12709941905093e-09,8.182112567770053e-18,8.62451668271841e-18,3.503877616508764e-79,5.896946686590472e-43,4.632213153620439e-78,0.8200986173045421,0.09766440613673946
Fatalities,2.4030322168098277e-119,0.00417703407692405,1.0327472610174558e-23,5.96801240052598e-28,7.170380088686547e-113,0.0,6.928546050196332e-19,0.0,0.22042839145149395,1.0085929930593143e-107,3.618499846349764e-74,0.0,1.6733418876147602e-108,4.180921962546076e-158,1.763871298259229e-118,2.4360810634919522e-20,7.935192218950552e-10,3.1609682026899226e-30,0.0012279744937782225,0.7721281871866237
Injury_Typ,4.375733581162253e-07,2.7309661836030543e-25,0.0002508096927420624,2.3019489615776167e-17,1.6015815110841066e-34,2.5918734243210586e-41,3.642193604347454e-05,1.0850054507704771e-21,5.2294661153120625e-05,1.061283441357597e-134,2.12709941905093e-09,1.6733418876147602e-108,0.0,0.0,0.0,3.1166652769937424e-57,3.7778733150255295e-13,8.672750163643626e-20,7.366429387790511e-10,3.58549959850599e-05
Injured,1.033386063235444e-12,7.977916796911497e-22,0.05352691388381584,7.089447570005593e-19,1.8978742947397875e-39,1.7926465954415658e-56,2.4753378807853224e-05,3.6043917303867853e-41,0.027722777742029817,1.453965851192097e-168,8.182112567770053e-18,4.180921962546076e-158,0.0,0.0,0.0,7.0479828121754e-43,3.025799468436968e-11,8.271479857607396e-23,1.6404910341324934e-15,4.580279353298219e-06
Property_D,6.955553134580375e-11,5.456639063542033e-22,0.017491000385237973,1.1723169035422603e-14,2.8522169997988814e-31,2.1744547600558075e-26,0.2718489574350734,2.401683555218801e-18,0.17688134426151314,1.959087482178433e-134,8.62451668271841e-18,1.763871298259229e-118,0.0,0.0,0.0,1.0750752603159764e-32,4.511387946155257e-24,1.9101253912680628e-50,1.6579130545139562e-33,0.0025357892527227525
Crash_Type,2.2871137521325314e-16,0.0,1.206169459645137e-105,9.576945538258663e-24,3.5379101622499436e-24,0.0,0.0,9.931682056143399e-44,4.164024850517244e-257,1.056679903072564e-245,3.503877616508764e-79,2.4360810634919522e-20,3.1166652769937424e-57,7.0479828121754e-43,1.0750752603159764e-32,0.0,4.433819305336578e-15,2.3144011656944683e-46,0.00012179716621758379,0.004752399332398877
Pedalcycli,0.0002528138101117928,0.002303405515050901,0.008826773545030402,0.18486327735325858,1.0362912105210838e-05,3.6550315194806975e-79,9.98646395349157e-52,3.0655686520785513e-59,1.3713134800092965e-19,2.7274065746421396e-39,5.896946686590472e-43,7.935192218950552e-10,3.7778733150255295e-13,3.025799468436968e-11,4.511387946155257e-24,4.433819305336578e-15,0.0,0.4398547337303016,0.12672189671618136,0.9097836090280412
Pedestrian,5.5805557819861324e-11,0.08587984010408188,0.4874808114939224,0.05838473319598453,0.00018980907647177012,2.121245970951043e-149,1.9601996155338785e-94,5.679671212544968e-106,6.769638283442791e-31,7.526705563179749e-70,4.632213153620439e-78,3.1609682026899226e-30,8.672750163643626e-20,8.271479857607396e-23,1.9101253912680628e-50,2.3144011656944683e-46,0.4398547337303016,0.0,0.026241468208407948,0.034829750521846094
Motorcycli,0.10863160998277639,0.006075392953020234,0.09115857753684957,0.3479936418071664,0.7055585652797106,0.0015117394972244409,0.028122485462335742,0.5658630163305769,0.35239809587507265,0.9025080768028853,0.8200986173045421,0.0012279744937782225,7.366429387790511e-10,1.6404910341324934e-15,1.6579130545139562e-33,0.00012179716621758379,0.12672189671618136,0.026241468208407948,0.0,3.2506852840529036e-35
V1_Type,0.9653296399120245,0.009590010434795007,5.153426336388401e-10,7.729243679611504e-54,4.1358978642670825e-29,0.12469200574901589,0.3241588230938214,0.0046645529984319515,9.584764204469552e-09,0.013394641485725096,0.09766440613673946,0.7721281871866237,3.58549959850599e-05,4.580279353298219e-06,0.0025357892527227525,0.004752399332398877,0.9097836090280412,0.034829750521846094,3.2506852840529036e-35,0.0
