,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,1.0,0.05377219813102322,-0.10406822906433687,0.0629036311946065,0.014487275624488809,0.00954552790509809,0.38426785953985554,0.011928872474739734,-0.1436632390307476,-0.02720025811281762,-0.024103045433226604,0.15628468921770955,-0.038946891905080196,0.054610986724154556,0.05300241592058743,0.061641998260057916,0.029740596680247054,0.05327020023953526,0.013039061301191179,0.000313165851626803
V1_Action,0.05377219813102321,1.0,-0.09449717887182077,0.02395183660312142,-0.023976127109941892,0.03285505740543527,0.05419363854377617,-0.09723830341616582,-0.08968776823856323,-0.04914013765318967,-0.0653903379491476,0.019429359202173938,0.08075531873703175,-0.07416782797131542,-0.07897419272895649,0.36114361217438995,0.024972428005914895,0.014071752689110716,0.022478870687669836,0.01881326822001429
V1_Lane_Nu,-0.10406822906433687,-0.09449717887182077,1.0,0.0015968363511726107,0.043025650321504544,-0.11526923844543849,-0.16535704779294766,-0.09894258132570302,0.8248140144796899,0.17409911799421174,0.018906334558296337,-0.06810270583341978,-0.028461470823766787,0.01491835085300293,0.019472007389402128,-0.16534136195633056,-0.021458941641628378,-0.005689634588797053,0.013843161163706909,0.045143879898721484
V1_Driver1,0.0629036311946065,0.02395183660312142,0.0015968363511726107,0.9999999999999999,0.22829330391824842,0.17219114903669608,0.10386201056943868,0.12100508994232989,-0.012329419596818323,-0.043786806042774185,0.06996513179923491,-0.0764732658643532,0.06777737477971235,-0.07052217316095295,-0.06505782291645326,0.07825847598604498,-0.011175264846291597,0.015952982606108067,-0.00790981588720582,0.11542506873890528
V1_Vehicle,0.014487275624488809,-0.023976127109941892,0.043025650321504544,0.2282933039182484,1.0,0.15096815874933242,0.06616436466263705,0.19056823757989536,-0.0034457517240252147,-0.05897140552367745,0.07800470680575555,-0.14066362684500408,0.08747441117604217,-0.09325514247986072,-0.0875302340474648,0.07055427107298469,0.03318254324406449,0.028086015109478873,0.0028432705668745605,0.0747091704201771
V2_Driver1,0.009545527905098088,0.03285505740543527,-0.1152692384454385,0.17219114903669608,0.15096815874933242,1.0,0.5459092758159259,0.5819367553707793,-0.286049580800531,-0.47213518220373407,0.4411890681035605,-0.2839567460043566,0.1081765960118283,-0.1264802092373174,-0.09003846859905595,0.3604039456909664,0.15957449120830663,0.2205133102668885,0.026872558200551712,0.011529493806188201
V2_Dir,0.3842678595398555,0.054193638543776165,-0.16535704779294763,0.10386201056943867,0.06616436466263705,0.545909275815926,1.0,0.4051580881047815,-0.3251543876071304,-0.33614379889574936,0.3023053108364112,-0.05864693312404784,0.03125991345365544,-0.03173612380918251,-0.00876952996512285,0.30082450463671967,0.12076570768476043,0.16453657682827505,0.017522654054005007,-0.006975652702280443
V2_Action,0.011928872474739734,-0.09723830341616584,-0.09894258132570302,0.12100508994232989,0.19056823757989538,0.5819367553707793,0.4051580881047815,1.0,-0.24140700494596204,-0.3367467177369729,0.36811025710340634,-0.2690177161883784,0.0744268011134665,-0.10390689618154159,-0.07163881563251105,0.10510330868172713,0.133087869236657,0.1792836098473856,-0.00470796813609729,0.020566795212318835
V2_Lane_Nu,-0.14366323903074762,-0.08968776823856323,0.8248140144796899,-0.012329419596818325,-0.0034457517240252147,-0.286049580800531,-0.32515438760713034,-0.241407004945962,0.9999999999999999,0.27836754543288866,-0.09813198272858022,-0.008316423523315263,-0.03145601110710165,0.01701532699561977,0.011070259989399043,-0.25952069694729235,-0.07422597354932937,-0.09474377386126268,-0.00762338039116951,0.041698633942142044
V2_Driver_,-0.02720025811281762,-0.04914013765318967,0.1740991179942117,-0.04378680604277419,-0.05897140552367745,-0.47213518220373407,-0.33614379889574936,-0.3367467177369729,0.2783675454328887,1.0,-0.24676106157252037,0.1373506214917238,-0.17631100259049412,0.1963603131082484,0.18567783828764997,-0.23283130273146954,-0.09868209510262049,-0.13294042807805037,0.0009217375803272255,0.016497421002866587
