,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,0.32131602220069033,0.4047314312137195,0.41341175976614086,0.05284522853322127,0.5930880072545945,0.07434968808589554,0.267847200642925,0.45906505166668715,0.12278601165536913,0.5714254800587297,0.01598999631075297,0.14555101547809499,0.349777232930898,0.49696412103818416,0.30079158630185865,0.9730948936274153,0.9379221864820952,0.954986035204905,0.2056679352786798
V1_Action,0.2591242356983569,0.0,0.382077596763393,0.5133798925091106,0.06409300453492739,0.6018227970865798,0.1748093928551068,0.31124948054671375,0.4033433906366705,0.10886315701157395,0.5832775602263555,0.024481125759919297,0.11477140589713358,0.39563896716138475,0.5037452866919357,0.2557074207745128,0.9795574911914036,0.961391152557982,0.9557340161263642,0.20371136386155403
V1_Lane_Nu,0.2864029980995475,0.4472557258929068,0.0,0.5154611587361576,0.05340707313054896,0.6860994819428248,0.22092706643462523,0.3368379630748432,0.04010984572055948,0.031019209877690954,0.5514399926135696,0.02923306509473363,0.15094654104455443,0.3737459170527487,0.49979704397537617,0.30938120155352455,0.9854947098299871,0.9628598681377938,0.9564365496953003,0.19430827686617655
V1_Driver1,0.25492714968746777,0.3842662506553797,0.3401811387869963,0.0,0.03904134893051744,0.5103246897227629,0.15845152152316702,0.24376507909996714,0.3657372564509191,0.11120336536144257,0.5126675455647403,0.030356314329273545,0.11281059572934604,0.40040949516012336,0.5037956585584965,0.2777203240674308,0.9846014731177433,0.9611052778496191,0.962305578330076,0.18418874658951973
V1_Vehicle,0.2652203570905823,0.4119337868470241,0.32204235415351745,0.40472288197998035,0.0,0.5421174411164978,0.16987170650477817,0.23527978665721605,0.35576437251872156,0.11162220382326726,0.519629613254644,0.032902338474421935,0.10923321922123401,0.40940000620684974,0.5052022593001768,0.2727775050783263,0.9786049233295891,0.9592544765478889,0.9591015388997369,0.18856303667119134
V2_Driver1,0.26638303868812874,0.3723730316475981,0.38857027085686713,0.3950365799926257,0.04381043472755704,0.0,0.027289578000520703,0.04286801029461265,0.5032447397472302,0.2726527953140252,0.2770107130585776,0.045927526735557535,0.08623321189096009,0.4290159177005855,0.5056350439702318,0.20509930941521448,0.9512260271432388,0.9031527278102637,0.9532732172936818,0.20163095570707087
V2_Dir,0.22109918177145832,0.35881633871209667,0.40298916990381617,0.4360176264879757,0.0506453061746139,0.20810551579588832,0.0,0.10017635396618546,0.5087173438162695,0.23456286252913508,0.34496110726685425,0.03690635189823238,0.10781105992561774,0.39985455190376873,0.5022987246670558,0.23153141422434304,0.9580769241057906,0.9164587173127724,0.9553781042426869,0.20739531947421483
V2_Action,0.2649935048621478,0.420177164562423,0.38963606729114575,0.4394958452175201,0.042669588774733605,0.250228992332274,0.07672402338135742,0.0,0.4793929358137322,0.21098936014780165,0.35954066048285016,0.03964875758976853,0.10006081756344909,0.4190426231908162,0.504933869411739,0.24266948255825738,0.9606022165101578,0.9219371858409944,0.9602398721434067,0.20109265540924415
V2_Lane_Nu,0.29136081692667515,0.44099341432221745,0.07311951778995224,0.5255866630191789,0.058129034581418555,0.7925906281092637,0.2566864232093911,0.38775013351074505,0.0,-0.0028318828868332258,0.6203128394688937,0.024984088610144912,0.15460122076645355,0.37171967580417564,0.500250730903705,0.3285514100345995,0.9948931752634543,0.9856595761935745,0.9620125092669378,0.1956398149288999
V2_Driver_,0.27507349854323776,0.40039661329913123,0.29678512162202136,0.5344966437375688,0.06229924091719667,0.7930747702417875,0.2395443617320819,0.3663797598600273,0.27918914579891824,0.0,0.6377818608578221,0.01994130870582772,0.16658305931297418,0.344192113897628,0.49639878513876395,0.3326823455991486,0.9923344665072542,0.9825192536648936,0.9606409984398818,0.2022291087897168
