,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,2.3369072450332623e-21,8.107878615161371e-33,1.4710692101330819e-33,5.016607799769722e-07,0.007761176569435475,0.0,1.7234900163005805e-05,2.621701255070975e-62,1.4054391343742741e-15,0.01965082101283605,9.11507105356734e-56,0.0015382900729090504,1.0240357688744325e-11,5.498272643094785e-10,0.9690613764568203,0.0002001295111740915,4.821850281486534e-13,0.11683462175179553,0.939465668166162
V1_Action,2.3369072450332623e-21,0.0,8.962980342117839e-55,0.47638409571024853,2.7954262820645716e-17,0.0007932741161817067,1.762306838688763e-13,3.241214091054531e-20,6.969184797668687e-50,2.021010400236912e-15,1.0698160779741577e-15,9.977404117344877e-11,2.4505730402771696e-15,7.522235850140683e-10,2.4459559514507058e-11,3.252533266104383e-189,0.0221859780881739,0.24388685971750595,0.005927847289914183,0.2982319918602949
V1_Lane_Nu,8.107878615161371e-33,8.962980342117839e-55,0.0,0.845402449506458,4.1931355974960387e-16,3.3195512331881106e-46,1.4818975248052622e-99,1.3461607855095935e-68,0.0,8.174946204736023e-254,0.4497482926154801,1.908319800339095e-11,3.9554299186303494e-15,0.0032704848078459474,7.237960024798222e-05,8.143109100881208e-07,0.027103721557159937,0.7737870635825963,0.03716661852833653,2.8911721090505584e-06
V1_Driver1,1.4710692101330819e-33,0.47638409571024853,0.845402449506458,0.0,5.492366303137406e-212,3.8553200782134346e-116,7.323089256893287e-66,4.341310947669885e-67,0.04202726384654324,6.485038481291983e-18,3.0211356005170393e-27,3.741171419899176e-24,3.0246964809918076e-16,2.646315780148017e-14,2.762073220070756e-10,1.324382691831046e-42,0.09850925144964733,0.2187275605126556,0.4139137869373387,4.738054672473069e-20
V1_Vehicle,5.016607799769722e-07,2.7954262820645716e-17,4.1931355974960387e-16,5.492366303137406e-212,0.0,5.0388631732929155e-89,2.1694850982883818e-35,8.651044584969306e-148,0.1861672600193847,1.6102384924697313e-28,1.8063373900896284e-29,3.4857834533422164e-103,4.8748553798019035e-34,5.622389962374496e-45,5.164246866169512e-36,6.428535834939117e-97,0.0004037232647310231,0.005738465988888358,0.3034386319899533,4.883832819370404e-20
V2_Driver1,0.007761176569435475,0.0007932741161817067,3.3195512331881106e-46,3.8553200782134346e-116,5.0388631732929155e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021977851322429e-63,1.6930899539975908e-60,1.5275459182102917e-21,0.0,1.1027998011847838e-89,8.649116207726317e-169,0.0011256373209668365,0.11626514960400115
V2_Dir,0.0,1.762306838688763e-13,1.4818975248052622e-99,7.323089256893287e-66,2.1694850982883818e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.12731411667908e-168,1.1146335959345901e-23,7.198093752266221e-13,0.020472209927006886,0.0,1.7916459558213686e-70,1.4092544793051117e-131,0.008052583174951597,0.5714104315348691
V2_Action,1.7234900163005805e-05,3.241214091054531e-20,1.3461607855095935e-68,4.341310947669885e-67,8.651044584969306e-148,0.0,0.0,0.0,0.0,0.0,0.0,4.528349831473737e-307,1.0165144695791184e-44,2.6006978062509503e-54,1.5672910761518355e-21,5.912528087159765e-287,4.083057336400963e-63,3.3066881627846894e-114,0.8055175567140979,0.034677059591886245
V2_Lane_Nu,2.621701255070975e-62,6.969184797668687e-50,0.0,0.04202726384654324,0.1861672600193847,0.0,0.0,0.0,0.0,0.0,6.180771732621478e-67,3.069134358009354e-06,2.357701728741388e-23,7.755459492987664e-05,0.0025626591918584303,7.101682348081187e-64,2.485966378698376e-21,6.613202233680808e-33,0.49915160767309785,1.0388431035835108e-05
V2_Driver_,1.4054391343742741e-15,2.021010400236912e-15,8.174946204736023e-254,6.485038481291983e-18,1.6102384924697313e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.126731607224138e-243,1.6830306208588464e-242,5.137924984077699e-184,0.0,1.5399067854904834e-59,2.446517866121374e-109,0.9391598279692353,0.0005529005794725147
Total_Vehi,0.01965082101283605,1.0698160779741577e-15,0.4497482926154801,3.0211356005170393e-27,1.8063373900896284e-29,0.0,0.0,0.0,6.180771732621478e-67,0.0,0.0,2.0471479185191453e-123,0.5542976662507657,2.314861049496284e-11,4.1946398368743847e-14,6.982208582405918e-180,1.0993181516821073e-53,5.952950741656115e-98,0.5586637985627905,0.050349970703116406
Fatalities,9.11507105356734e-56,9.977404117344877e-11,1.908319800339095e-11,3.741171419899176e-24,3.4857834533422164e-103,0.0,2.12731411667908e-168,4.528349831473737e-307,3.069134358009354e-06,0.0,2.0471479185191453e-123,0.0,3.5293189934088547e-112,1.0406002899520538e-148,1.8384678528070278e-101,0.0,2.416153486056654e-10,3.3168075420514947e-36,4.641750164917168e-06,0.004551729205502375
Injury_Typ,0.0015382900729090504,2.4505730402771696e-15,3.9554299186303494e-15,3.0246964809918076e-16,4.8748553798019035e-34,1.0021977851322429e-63,1.1146335959345901e-23,1.0165144695791184e-44,2.357701728741388e-23,3.126731607224138e-243,0.5542976662507657,3.5293189934088547e-112,0.0,0.0,0.0,2.8592600591884438e-108,4.985082815337603e-06,0.00025770662030352503,0.64988332972244,0.00310554023195618
Injured,1.0240357688744325e-11,7.522235850140683e-10,0.0032704848078459474,2.646315780148017e-14,5.622389962374496e-45,1.6930899539975908e-60,7.198093752266221e-13,2.6006978062509503e-54,7.755459492987664e-05,1.6830306208588464e-242,2.314861049496284e-11,1.0406002899520538e-148,0.0,0.0,0.0,1.2351016957911355e-110,2.2254584905338827e-07,9.416875154235284e-16,5.03569607415156e-11,7.968227153599943e-05
Property_D,5.498272643094785e-10,2.4459559514507058e-11,7.237960024798222e-05,2.762073220070756e-10,5.164246866169512e-36,1.5275459182102917e-21,0.020472209927006886,1.5672910761518355e-21,0.0025626591918584303,5.137924984077699e-184,4.1946398368743847e-14,1.8384678528070278e-101,0.0,0.0,0.0,3.201393755089852e-83,3.682087027449666e-24,7.16213896871934e-51,1.0963777789517029e-33,0.02009678551261925
Crash_Type,0.9690613764568203,3.252533266104383e-189,8.143109100881208e-07,1.324382691831046e-42,6.428535834939117e-97,0.0,0.0,5.912528087159765e-287,7.101682348081187e-64,0.0,6.982208582405918e-180,0.0,2.8592600591884438e-108,1.2351016957911355e-110,3.201393755089852e-83,0.0,8.491557204160381e-09,1.031484149253993e-44,0.0031768706000538634,8.410565756536487e-09
Pedalcycli,0.0002001295111740915,0.0221859780881739,0.027103721557159937,0.09850925144964733,0.0004037232647310231,1.1027998011847838e-89,1.7916459558213686e-70,4.083057336400963e-63,2.485966378698376e-21,1.5399067854904834e-59,1.0993181516821073e-53,2.416153486056654e-10,4.985082815337603e-06,2.2254584905338827e-07,3.682087027449666e-24,8.491557204160381e-09,0.0,0.43987633922061264,0.12672687980366543,0.864739196965538
Pedestrian,4.821850281486534e-13,0.24388685971750595,0.7737870635825963,0.2187275605126556,0.005738465988888358,8.649116207726317e-169,1.4092544793051117e-131,3.3066881627846894e-114,6.613202233680808e-33,2.446517866121374e-109,5.952950741656115e-98,3.3168075420514947e-36,0.00025770662030352503,9.416875154235284e-16,7.16213896871934e-51,1.031484149253993e-44,0.43987633922061264,0.0,0.026235746770047898,0.07138612454185109
Motorcycli,0.11683462175179553,0.005927847289914183,0.03716661852833653,0.4139137869373387,0.3034386319899533,0.0011256373209668365,0.008052583174951597,0.8055175567140979,0.49915160767309785,0.9391598279692353,0.5586637985627905,4.641750164917168e-06,0.64988332972244,5.03569607415156e-11,1.0963777789517029e-33,0.0031768706000538634,0.12672687980366543,0.026235746770047898,0.0,5.4983611034753955e-25
