,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,0.025519840750201413,0.01977953910995053,0.03145948617679888,0.004514096194908959,0.032298487626250205,0.010425575639183587,0.018120072347875063,0.02205607537323953,0.012695612136721773,0.02680120932622133,0.0024971670789778163,0.016063231407969693,0.01719923977294853,0.002634734082034154,0.011633571775255125,0.009242210710305896,0.01303469040887372,0.013497561380646707,0.01646698170030339
V1_Action,0.0030593452982895816,0.0,0.006821407432012086,0.010954861654568299,0.0015601155928902152,0.011181144727599932,0.003816620678354519,0.006257517318643629,0.007653790677991711,0.00439583246416073,0.00925816105960629,0.0008716350114031994,0.005550211071704478,0.0059570051490512275,0.0009120279807871624,0.003893950041509248,0.0032010905163213704,0.004522154554346149,0.004672435116790729,0.005701260613218042
V1_Lane_Nu,0.003931003844418404,0.011308649757816652,0.0,0.01410533123299667,0.0020091684402110017,0.014287933570445027,0.004838543717912921,0.007987074834988008,0.005465466163153269,0.005421424904077212,0.011950366320915139,0.0011221419071557868,0.0071465095717482665,0.007678837081962543,0.0011756249395433807,0.005181332110757767,0.004121660921294989,0.005822849423918212,0.006016816978410793,0.007334728291074728
V1_Driver1,0.0024708832693427687,0.007177231653812513,0.005574380270817432,0.0,0.0012191740182816043,0.008869375027225335,0.0030602967854323738,0.005022415459404419,0.006248076179721301,0.0035565001224629263,0.007478278187135313,0.0007038318114986377,0.004491735199583048,0.00481792229501816,0.000738353164174181,0.003236440927155898,0.002591288110844916,0.003660309362910439,0.0037829988211919947,0.004599691114325459
V1_Vehicle,0.01738392520957498,0.050116793357999116,0.03893194329313839,0.059778103201362925,0.0,0.06241066742463442,0.021547003902539302,0.03465923063768348,0.043754757287601156,0.0248562456101217,0.052343939445348174,0.004858680166212144,0.03135209751886414,0.03355109767608337,0.005146383189898512,0.022441374616222174,0.018137893027627066,0.025624272639789517,0.026489132591249537,0.032208307731027355
V2_Driver1,0.002433083141332695,0.007026037999896918,0.005415728497526864,0.008506818710147477,0.001220833827024773,0.0,0.001999650959968179,0.0034985072449062455,0.0057583605390462604,0.002386494919879251,0.006180124094527658,0.0006341735865341845,0.0043615630001145505,0.004679401738624684,0.0007216550945474255,0.002881802510636593,0.0024981282611375474,0.00347845808405135,0.0037034249242245553,0.004519177095958189
V2_Dir,0.006717706769425935,0.020513957955106986,0.015687305992744097,0.02510637097485846,0.003605212385193017,0.01710410810229842,0.0,0.011430167135810193,0.01641284321079499,0.007757698819532322,0.019050079792215437,0.0019641327104130617,0.012848329495834284,0.013803233450302094,0.0021176920879243093,0.008735374101963268,0.007331523555078537,0.010241926183156643,0.01083272972376937,0.013218102992858742
V2_Action,0.004333017256592556,0.012481937808557043,0.009610167208128283,0.015291233594224329,0.0021521491908238545,0.011105509971006542,0.00424191608451722,0.0,0.010260665399784888,0.005112480091547654,0.011663159407826995,0.0011668953090298892,0.007797552290480546,0.008346468478395189,0.0012857555690767867,0.005403212045269826,0.004472245218354014,0.006258925826636184,0.006601027052329146,0.008051062104672331
V2_Lane_Nu,0.003487997870370948,0.01009657364261285,0.004348984731736058,0.012580377877812519,0.0017967854318457984,0.012088490249003648,0.00402819786876252,0.006785674262451286,0.0,0.0044433033960999116,0.010535868036801113,0.0010019032466346957,0.006365543457765873,0.006847890892307468,0.0010489691427851989,0.0045748401199963845,0.003664381828589957,0.0051651105879317975,0.005368012151335957,0.0065434408339090835
V2_Driver_,0.006162404089279349,0.017798652421230476,0.013241057540129905,0.02197954771867914,0.003132961251742544,0.015377377602329703,0.0058439762557584195,0.01037761765280257,0.013638120456081438,0.0,0.016995370625348658,0.0016417700471442823,0.01071794051578756,0.011493811191934161,0.0017789043167485293,0.007538497167980675,0.006375860911019966,0.008925137980092946,0.009404711251417163,0.011467234519133708
Total_Vehi,0.0029325196140599845,0.00845007822464124,0.00657931155193896,0.01041807663479636,0.0014872223535762558,0.008976539947570363,0.003234910984394582,0.005336693427396375,0.007289687035133341,0.0038310749412148407,0.0,0.0008159909628063673,0.005315468012000078,0.005689574580802346,0.0008708888939898587,0.0037264154904987543,0.0030303466271732753,0.004246228424502576,0.004465136393076909,0.005446179821401787
Fatalities,0.030880310429133733,0.0899121092519463,0.06982236219077481,0.11081596813812476,0.015601822510658057,0.10410400646122889,0.03769501198705633,0.06034418960898179,0.07834510495911756,0.04182633942426069,0.09222164629341341,0.0,0.05539513924080047,0.05900643380317225,0.009113861213766943,0.03869250792229068,0.03246716625801116,0.04564727948668908,0.047430325886265085,0.0578886854702483
Injury_Typ,0.004891090188566795,0.014097162870923044,0.01094912550773838,0.017413509088941286,0.0024789189143732356,0.017629505981916028,0.006071533860842887,0.009928886807981685,0.012256325002818648,0.0067233786436564314,0.01479202830731391,0.0013639873947466502,0.0,0.006054426367622345,0.0007285217172192628,0.006297332403184244,0.005098500849997395,0.0072036343703145295,0.007448694480314874,0.00908345713427474
Injured,0.004555031973515761,0.01316011296117765,0.010232702113441836,0.01624580987692334,0.00230734149740221,0.016451206294599847,0.005673381819896462,0.00924388310815415,0.011468088533522248,0.006271186410308905,0.013771315835777091,0.0012637101972098096,0.005266019045328532,0.0,0.0005809863718919886,0.0058705092285164994,0.004753845236324273,0.006704744896199712,0.006935078674302009,0.008469141898403301
Property_D,0.029752942151797128,0.08591139161142809,0.06679971633420523,0.1061589624326102,0.015091006739844261,0.1081802667165149,0.0371137589932692,0.06071850239744818,0.07490449277897122,0.04138559374739147,0.08988130014624766,0.008322647153313005,0.027018602126750144,0.024772902593975084,0.0,0.03852404614214647,0.030949458920333496,0.04350580794478429,0.04510194091778014,0.05532461534779633
