,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,1.0,0.24258687154480402,-0.2366666214078687,0.38090127178547817,0.022698102196226817,0.0860015032779191,0.411827296911766,0.07790982574013423,-0.36944369555839035,-0.10150341073030769,-0.06253377460228861,0.039478348577651624,-0.05088909510916717,0.11711669339007735,0.016359063364952752,-0.0004512232043210841,0.034380444598591735,0.09434256491732855,0.021168306081104267,0.0012505514304795608
V1_Action,0.029081568813532563,1.0,-0.10683521539083429,0.007801519992866453,-0.013209297466655497,0.037523245703463465,0.028142612712790397,-0.05773326125252811,-0.11415461034585254,-0.034947113765352804,-0.07433262274295699,0.005641868005332752,0.04399112317124674,-0.036691586256488086,-0.00609468021961699,0.1162096216420289,0.007322330924109625,0.005270030774125988,0.012859521643552994,0.005930878137810883
V1_Lane_Nu,-0.047035342604713176,-0.17711330758313626,1.0,0.0027504245088357552,0.016361856236851352,-0.20472567645851253,-0.103389339812815,-0.14065113322466802,0.9363860652169684,0.18877222628085305,0.009032780868008026,-0.007539619657998517,-0.05621465436169116,0.022588515858887156,0.004666798062397192,-0.02556656911165338,-0.009110009920559327,0.0016736670297969208,0.012539936869214539,0.03433026275748115
V1_Driver1,0.029916654532654775,0.005111275523712565,0.0010869586729420962,1.0,0.038615350429209105,0.20529900259701028,0.052762385858024126,0.08742683576598818,-0.012705183619065422,-0.030715524527041665,0.08104266650136424,-0.007150134555919898,0.03675694716446627,-0.036728839707367865,-0.004663915823474209,0.04444100663705698,-0.0042814434627407305,0.004502105209681862,-0.0030909082745359815,0.042248988722484844
V1_Vehicle,0.08741109935218262,-0.42433242418550715,0.3170460208486464,1.8933740126513048,1.0,1.258400812057677,0.26832179555246105,0.9092966772606755,0.05784703062577,-0.2760200559976348,0.5915038846139377,-0.10576642272629154,0.38246425720621474,-0.47399382266623286,-0.06468113756340181,0.4728893918282772,0.06418234878761828,0.07079555019965189,0.02726073451461196,0.29573332975592054
V2_Driver1,0.006478594607157675,0.02357895873945942,-0.0775996525113531,0.19690692874142826,0.024615956577786195,1.0,0.25701424252761307,0.3992014809183956,-0.23374800050554304,-0.28768319241160806,0.4502495237531789,-0.03125467512021847,0.07391789389521142,-0.07718641709716027,-0.006892005421993488,0.15506077794163659,0.05056377565038935,0.09779887057353935,0.01206511342835534,0.0070985063149663205
V2_Dir,0.2653604094435593,0.1512637546642291,-0.33520420700694353,0.43285737487157583,0.044895200507619464,2.19838335590957,1.0,1.016359192440163,-0.8052918142274244,-0.7497172585853096,1.1284818137931614,-0.055156000965297505,0.12913855559054827,-0.09914902530067735,-0.004908533553373319,0.37231525427806206,0.13093101607866903,0.25294541597669684,0.0287097123914357,-0.007481316696618968
V2_Action,0.01863042337298995,-0.1151611637241834,-0.16923353495833585,0.26617952634689906,0.056462364345089756,1.2672079022373517,0.37718699602840633,1.0,-0.4161009294914431,-0.40028583033828163,0.6748666759823165,-0.044943630111246864,0.10982924943877061,-0.13014281247712536,-0.012275874298217686,0.20075342386248693,0.07541505647049619,0.14361795217921675,0.001625290819121836,0.017006550253516172
V2_Lane_Nu,-0.05842466538236036,-0.15058818283531883,0.7451018045072837,-0.025581636064809666,0.0023754834524787665,-0.4907057148775479,-0.19764246377917422,-0.2751795578375782,1.0,0.27333038557314265,-0.1831829974763784,0.004677112522713858,-0.06350473858845053,0.027070568838800567,0.00316415413962621,-0.0776271209478871,-0.03480917795940801,-0.06188998936125724,-0.003627941987690287,0.028861144020230923
V2_Driver_,-0.0492693874563945,-0.14150028148387825,0.46104925446507655,-0.189825197188197,-0.03479045684165023,-1.8536863593159456,-0.5647718427368614,-0.8125241027252157,0.8389507513769341,1.0,-0.8733201200180122,0.07051135554003338,-0.36491017951599936,0.3907060974140708,0.0523215291030892,-0.33576793372491587,-0.10429749871337314,-0.20021724200977653,0.0007178371575466651,0.03961474328351619
