,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,1.0,0.08399289730739025,-0.105506851062,0.10674873188499709,0.04454285651123396,0.023604424910253156,0.3305792796418742,0.038098465040662347,-0.14691706602917706,-0.0707178256977481,-0.02068511364819315,0.13882766070127692,-0.02808090537405692,0.0602712073958854,0.05497370389228412,-0.0003439290939993531,0.03296780798435874,0.06404790804598219,0.013905268981020017,0.0006734076499124285
V1_Action,0.08399289730739025,1.0,-0.13755703676739858,0.006314722336515876,-0.07486743762019243,0.029744899768070543,0.06524536201905803,-0.08153912895925149,-0.13111191911590578,-0.0703208819259723,-0.07101456898364453,0.05730132719962702,0.07010938530669221,-0.054535877875510695,-0.05915237947246889,0.25582578118750576,0.020279286334280295,0.010333207549043488,0.024397359901610786,0.009224019669414064
V1_Lane_Nu,-0.105506851062,-0.13755703676739858,1.0,0.0017290453360601997,0.07202403358318202,-0.1260422205188891,-0.1861626752733374,-0.1542818475113207,0.8352861467237669,0.2950140576150568,0.006702257224811105,-0.059473406693847056,-0.06958125728518659,0.026075649588878397,0.03517806303074444,-0.04371256509235391,-0.019595384200813366,0.002548723248044116,0.01847757557908603,0.041467701663333134
V1_Driver1,0.10674873188499709,0.006314722336515876,0.0017290453360601997,1.0,0.27039471332126286,0.20105918550281607,0.15112441177541597,0.15254911908693172,-0.018028293970298825,-0.07635823793203052,0.09565478227328891,-0.08971828044117049,0.07237282242777476,-0.06744472627685229,-0.05592383760257136,0.12086792770536853,-0.014649354718404686,0.010905927539987823,-0.007244845077255724,0.08117877707854582
V1_Vehicle,0.04454285651123396,-0.07486743762019243,0.07202403358318202,0.27039471332126286,1.0,0.17600210154160847,0.10975591470117779,0.22658561359731502,0.011722400096675982,-0.09799420312250921,0.09970394694678902,-0.1895292859568879,0.10754462629720302,-0.12430118059702785,-0.1107607010656568,0.18367436389656186,0.03136213877067685,0.024491462156149984,0.009125198561597854,0.08114994762692077
V2_Driver1,0.023604424910253156,0.029744899768070543,-0.1260422205188891,0.20105918550281607,0.17600210154160847,1.0,0.751675350802732,0.7112462802747331,-0.3386760689645342,-0.7302563998883286,0.542636681665419,-0.40044662340077997,0.1486101869623627,-0.14472534385740254,-0.08438296735481465,0.43061788898613174,0.17665693775522678,0.24190437782396607,0.028876018781781577,0.013926952042212004
V2_Dir,0.3305792796418742,0.06524536201905803,-0.1861626752733374,0.15112441177541597,0.10975591470117779,0.751675350802732,1.0,0.6191586797278724,-0.3989484405598162,-0.6507066909621058,0.46502610382074777,-0.24162913501552769,0.08877318514194323,-0.06356514454866012,-0.02054886451240829,0.353531259881096,0.1564085975945567,0.2139260062764136,0.023494252387535393,-0.0050187322684515905
V2_Action,0.038098465040662347,-0.08153912895925149,-0.1542818475113207,0.15254911908693172,0.22658561359731502,0.7112462802747331,0.6191586797278724,1.0,-0.3383821357478267,-0.5702998203833052,0.456505490797212,-0.32319894188781173,0.12393362351947654,-0.1369607203912551,-0.08435945227665413,0.31291415231769465,0.1478840713227213,0.19938420644570107,0.0021832784301748873,0.018727399253957475
V2_Lane_Nu,-0.14691706602917706,-0.13111191911590578,0.8352861467237669,-0.018028293970298825,0.011722400096675982,-0.3386760689645342,-0.3989484405598162,-0.3383821357478267,1.0,0.478864001936599,-0.15237174516776147,0.041359079057197795,-0.08811878964341963,0.035031963867499204,0.026738079425173946,-0.1487876836535305,-0.08393601834264516,-0.1056558847238603,-0.005992797937967159,0.03908103379332691
V2_Driver_,-0.0707178256977481,-0.0703208819259723,0.2950140576150568,-0.07635823793203052,-0.09799420312250921,-0.7302563998883286,-0.6507066909621058,-0.5702998203833052,0.478864001936599,1.0,-0.4146373971434117,0.35589986932046547,-0.2890174683751623,0.28859779908253325,0.2523647705529351,-0.36734018877371427,-0.14355033590517896,-0.1950969504255813,0.0006768165332814801,0.030618581769870853
Total_Vehi,-0.02068511364819315,-0.07101456898364453,0.006702257224811105,0.09565478227328891,0.09970394694678902,0.542636681665419,0.46502610382074777,0.456505490797212,-0.15237174516776147,-0.4146373971434117,1.0,-0.2072309896924123,-0.005243579787524608,0.05922377089407204,0.06691688562317905,0.24957414385976512,0.13614951112908788,0.1846536273786408,0.0051858971156304575,0.017352119653491004
Fatalities,0.13882766070127692,0.05730132719962702,-0.059473406693847056,-0.08971828044117049,-0.1895292859568879,-0.40044662340077997,-0.24162913501552769,-0.32319894188781173,0.041359079057197795,0.35589986932046547,-0.2072309896924123,1.0,-0.19761047820317143,0.227280632208168,0.18793947185879767,-0.3247659066094133,-0.05610670663567772,-0.11106879400247929,-0.04059940840024765,0.02515438505762327
Injury_Typ,-0.02808090537405692,0.07010938530669221,-0.06958125728518659,0.07237282242777476,0.10754462629720302,0.1486101869623627,0.08877318514194323,0.12393362351947654,-0.08811878964341963,-0.2890174683751623,-0.005243579787524608,-0.19761047820317143,1.0,-0.7710483182267782,-0.865831095882316,0.19414321455092332,-0.04046703848813212,-0.03239741565069199,-0.004025138029731381,0.026217393940881396
Injured,0.0602712073958854,-0.054535877875510695,0.026075649588878397,-0.06744472627685229,-0.12430118059702785,-0.14472534385740254,-0.06356514454866012,-0.1369607203912551,0.035031963867499204,0.28859779908253325,0.05922377089407204,0.227280632208168,-0.7710483182267782,1.0,0.9038547462454412,-0.19624866861964496,0.04590430797972262,0.07115288542831358,0.058208705949742263,-0.03497455458154696
Property_D,0.05497370389228412,-0.05915237947246889,0.03517806303074444,-0.05592383760257136,-0.1107607010656568,-0.08438296735481465,-0.02054886451240829,-0.08435945227665413,0.026738079425173946,0.2523647705529351,0.06691688562317905,0.18793947185879767,-0.865831095882316,0.9038547462454412,1.0,-0.17012814328969172,0.0897319881344549,0.13244010751739982,0.10696115715423779,-0.02061053520381808
Crash_Type,-0.0003439290939993531,0.25582578118750576,-0.04371256509235391,0.12086792770536853,0.18367436389656186,0.43061788898613174,0.353531259881096,0.31291415231769465,-0.1487876836535305,-0.36734018877371427,0.24957414385976512,-0.3247659066094133,0.19414321455092332,-0.19624866861964496,-0.17012814328969172,1.0,0.051029090852726375,0.12392453601360272,0.026155274444530037,0.051043409090088074
Pedalcycli,0.03296780798435874,0.020279286334280295,-0.019595384200813366,-0.014649354718404686,0.03136213877067685,0.17665693775522678,0.1564085975945567,0.1478840713227213,-0.08393601834264516,-0.14355033590517896,0.13614951112908788,-0.05610670663567772,-0.04046703848813212,0.04590430797972262,0.0897319881344549,0.051029090852726375,1.0,-0.006849162210159569,-0.01354120441407362,0.00151052201318923
Pedestrian,0.06404790804598219,0.010333207549043488,0.002548723248044116,0.010905927539987823,0.024491462156149984,0.24190437782396607,0.2139260062764136,0.19938420644570107,-0.1056558847238603,-0.1950969504255813,0.1846536273786408,-0.11106879400247929,-0.03239741565069199,0.07115288542831358,0.13244010751739982,0.12392453601360272,-0.006849162210159569,1.0,-0.019707822247310762,0.015987122617076376
Motorcycli,0.013905268981020017,0.024397359901610786,0.01847757557908603,-0.007244845077255724,0.009125198561597854,0.028876018781781577,0.023494252387535393,0.0021832784301748873,-0.005992797937967159,0.0006768165332814801,0.0051858971156304575,-0.04059940840024765,-0.004025138029731381,0.058208705949742263,0.10696115715423779,0.026155274444530037,-0.01354120441407362,-0.019707822247310762,1.0,0.09135467644820032
V1_Type,0.0006734076499124285,0.009224019669414064,0.041467701663333134,0.08117877707854582,0.08114994762692077,0.013926952042212004,-0.0050187322684515905,0.018727399253957475,0.03908103379332691,0.030618581769870853,0.017352119653491004,0.02515438505762327,0.026217393940881396,-0.03497455458154696,-0.02061053520381808,0.051043409090088074,0.00151052201318923,0.015987122617076376,0.09135467644820032,1.0
