,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,2.336907244998801e-21,8.10787861502265e-33,1.4710692101098045e-33,5.016607799698969e-07,0.0077611765693334405,5.34e-322,1.7234900162743364e-05,2.621701255025994e-62,1.4054391343538154e-15,0.019650821012576578,9.115071053412355e-56,0.0015382900728872564,1.0240357688609367e-11,5.498272643009815e-10,0.9690613764446454,0.00020012951117165834,4.821850281409052e-13,0.11683462175031936,0.9394656681528778
V1_Action,2.336907244998801e-21,0.0,8.962980341964231e-55,0.47638409570386453,2.7954262820257824e-17,0.0007932741161707528,1.7623068386638155e-13,3.241214091006317e-20,6.969184797580195e-50,2.021010400209355e-15,1.0698160779599552e-15,9.977404117214423e-11,2.450573040239612e-15,7.522235850039881e-10,2.4459559514166864e-11,3.252533266114467e-189,0.02218597808786781,0.24388685971388707,0.005927847289823094,0.2982319918562219
V1_Lane_Nu,8.10787861502265e-33,8.962980341964231e-55,0.0,0.8454024494946962,4.1931355974279255e-16,3.3195512331391336e-46,1.4818975247685723e-99,1.3461607854784905e-68,0.0,8.174946204382658e-254,0.44974829260932264,1.908319800311016e-11,3.955429918561792e-15,0.0032704848077951573,7.237960024696209e-05,8.143109100763537e-07,0.02710372155680822,0.7737870635723626,0.037166618527828835,2.8911721090098102e-06
V1_Driver1,1.4710692101098045e-33,0.47638409570386453,0.8454024494946962,0.0,5.492366303015104e-212,3.855320078192881e-116,7.323089256777444e-66,4.341310947588942e-67,0.04202726384597995,6.485038481191944e-18,3.0211356004746117e-27,3.741171419843296e-24,3.0246964809489004e-16,2.6463157801145547e-14,2.7620732200330853e-10,1.3243826918164687e-42,0.09850925144826009,0.21872756050937697,0.4139137869313982,4.738054672399558e-20
V1_Vehicle,5.016607799698969e-07,2.7954262820257824e-17,4.1931355974279255e-16,5.492366303015104e-212,0.0,5.038863173246752e-89,2.169485098257368e-35,8.651044584745853e-148,0.1861672600168999,1.6102384924462767e-28,1.806337390061907e-29,3.485783453286631e-103,4.8748553797225125e-34,5.622389962297086e-45,5.164246866088437e-36,6.428535834876025e-97,0.00040372326472586665,0.005738465988809381,0.303438631985523,4.883832819297731e-20
V2_Driver1,0.0077611765693334405,0.0007932741161707528,3.3195512331391336e-46,3.855320078192881e-116,5.038863173246752e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021977851210234e-63,1.693089953986363e-60,1.5275459181904555e-21,0.0,1.102799801196627e-89,8.649116207568029e-169,0.00112563732095137,0.11626514960227154
V2_Dir,5.34e-322,1.7623068386638155e-13,1.4818975247685723e-99,7.323089256777444e-66,2.169485098257368e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.1273141166445453e-168,1.114633595918251e-23,7.198093752177858e-13,0.020472209926744186,0.0,1.7916459558180233e-70,1.4092544792640785e-131,0.008052583174842939,0.5714104315267972
V2_Action,1.7234900162743364e-05,3.241214091006317e-20,1.3461607854784905e-68,4.341310947588942e-67,8.651044584745853e-148,0.0,0.0,0.0,0.0,0.0,0.0,4.528349831307892e-307,1.0165144695601515e-44,2.6006978062108816e-54,1.5672910761284146e-21,5.912528087091365e-287,4.0830573363738713e-63,3.306688162673275e-114,0.8055175567034143,0.034677059591423455
V2_Lane_Nu,2.621701255025994e-62,6.969184797580195e-50,0.0,0.04202726384597995,0.1861672600168999,0.0,0.0,0.0,0.0,0.0,6.18077173253671e-67,3.0691343579635953e-06,2.3577017287046467e-23,7.755459492881976e-05,0.0025626591918216576,7.101682348016864e-64,2.4859663786739242e-21,6.613202233571372e-33,0.4991516076664436,1.0388431035685632e-05
V2_Driver_,1.4054391343538154e-15,2.021010400209355e-15,8.174946204382658e-254,6.485038481191944e-18,1.6102384924462767e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.126731607138327e-243,1.683030620845958e-242,5.13792498396899e-184,0.0,1.5399067854836841e-59,2.446517866051301e-109,0.9391598279566129,0.0005529005794643353
