Lighting,Weather,HWY_Factor,Factors_Ro,X,Y,Crash_Seve,Crash_Date,Distance,Dir,Agency,Accident_R,AREA,PERIMETER,WARD,ACRES,SQ_MILES,AREA_1,LEN,Primary_St,Secondary_
DAYLIGHT,CLEAR,NONE,DRY,-115.2968561,36.28258764,PROPERTY DAMAGE ONLY,01/01/2016,15,E,LVMPD,2210211,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,ECHELON POINT DR,FORT APACHE RD
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.3059603,36.31391698,INJURY CRASH,01/01/2016,0,AT INT,LVMPD,2221379,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,GRAND CANYON DR,HORSE DR
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.2662689,36.27987994,PROPERTY DAMAGE ONLY,01/01/2016,195,E,LVMPD,2221386,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,SKY POINTE DR,N BUFFALO DR
DARK - SPOT LIGHTING,CLEAR,NONE,WET,-115.2831213,36.27873208,PROPERTY DAMAGE ONLY,01/01/2016,500,W,NHP,2214957,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,CC215S,CC215S TO DURANGO DR INT 37
DARK - NO LIGHTING,CLEAR,NONE,DRY,-115.31235249999999,36.32753383,PROPERTY DAMAGE ONLY,01/01/2016,0,AT INT,NHP,2214994,1396099629.68306,625331.69844141,6,31991.49041434,49.98670378,1393543746.89,619305.71957,US95N,SR157
DAWN,CLEAR,NONE,DRY,-115.26743159999998,36.18356286,PROPERTY DAMAGE ONLY,01/01/2016,87,E,LVMPD,2210204,814842368.871134,159606.44090370002,2,18706.28164028,29.22856507,814842368.871,159606.440904,CALICO VISTA BLVD,PINTO ROCK LN
DARK - CONTINUOUS LIGHTING,CLEAR,NONE,DRY,-115.1460422,36.16095946,PROPERTY DAMAGE ONLY,01/01/2016,16,W,LVMPD,2210199,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,GASS AVE,LAS VEGAS BLVD
DAYLIGHT,CLEAR,NONE,DRY,-115.1369382,36.1583945,INJURY CRASH,01/01/2016,120,S,LVMPD,2210205,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,MARYLAND PKWY,SR159
DAYLIGHT,CLEAR,NONE,DRY,-115.08462620000002,36.16611108,PROPERTY DAMAGE ONLY,01/01/2016,237,E,LVMPD,2210207,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,STEWART AVE,PRINCE LN
DAYLIGHT,CLEAR,NONE,DRY,-115.11672800000001,36.17380249,PROPERTY DAMAGE ONLY,01/01/2016,150,W,LVMPD,2210214,321293667.394449,122795.074116,3,7375.91718487,11.5248706,321293667.394,122795.074116,E BONANZA RD,EASTERN AVE
