,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.0,7.531001533604911e-13,8.574846188127944e-43,4.690582436161566e-16,0.0368528228121805,0.21883149421079903,0.0,0.11142177029756185,1.0915557838404372e-80,8.33269129432832e-05,0.002155368638759442,9.276441260701207e-121,4.1397671268938105e-07,1.1232675514193168e-12,6.723924391858996e-11,1.200923958789846e-16,0.0002520770253583537,5.390890523099474e-11,0.10863456874323957,0.9496306962819911
V1_Action,7.531001533604911e-13,0.0,3.021011556586067e-36,0.001882923443314685,0.00012289319793195517,2.9830690998790773e-05,3.451549542024332e-13,6.005040310628228e-35,9.677476215627676e-33,1.4068583446848457e-12,6.88426467219622e-17,0.004340877027147124,7.308248719170267e-25,4.836068500466211e-22,4.61849656322439e-22,0.0,0.0023005169204402686,0.08588014758902289,0.006070873888191567,0.009122792758303331
V1_Lane_Nu,8.574846188127945e-43,3.021011556586067e-36,0.0,0.8648325818566754,7.963636226646912e-10,2.638438118464789e-49,1.9856188603759963e-109,8.569275132141934e-39,0.0,2.0580959879025003e-142,0.016641501857480274,5.41834200481366e-24,0.00036041817688093627,0.05154665588972658,0.01748513944822311,3.148860171605699e-108,0.008821635595985035,0.48750235746434445,0.0911595065672721,4.718945740943167e-10
V1_Driver1,4.690582436161566e-16,0.001882923443314685,0.8648325818566754,0.0,4.733818987665159e-233,2.5027537246460907e-103,7.363097332080746e-43,5.2953150817075784e-55,0.10514826384181868,8.052609247933922e-10,5.615994101688506e-18,2.889944796843039e-28,3.9017300686960854e-17,8.026161611311858e-19,1.0957335643790235e-14,1.6635700410098426e-23,0.18487399980712263,0.05838184782270549,0.3480137237724249,1.5353854021291712e-54
V1_Vehicle,0.0368528228121805,0.00012289319793195517,7.963636226646912e-10,4.733818987663003e-233,0.0,1.1576156559715689e-99,1.474842447622599e-23,1.3132415874721261e-162,0.5779591064136216,2.424684252612547e-20,1.646526112983404e-27,3.875544770575582e-113,1.8181489363819547e-35,8.935071260304457e-40,1.9961100078934776e-31,3.5741282817178307e-28,1.0294871487054886e-05,0.0001892052531042114,0.7055743298891491,2.5141192715271352e-29
V2_Driver1,0.21883149421079903,2.98306909987906e-05,2.638438118464789e-49,2.5027537246460907e-103,1.1576156559715689e-99,0.0,0.0,0.0,4.463434187776455e-308,0.0,0.0,0.0,2.1635438277111333e-40,4.990090391210956e-56,1.6971056625487307e-26,0.0,2.975388396007701e-80,1.8749316393856798e-153,0.0015094466003260794,0.12706450838463498
V2_Dir,0.0,3.451549542024332e-13,1.9856188603759963e-109,7.363097332080746e-43,1.4748424476225884e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.578774417714347e-24,7.240961831640291e-05,3.14193878788297e-05,0.27186584941394354,0.0,3.551462187822165e-52,5.27691092753498e-96,0.028116855177751122,0.32990450366498747
V2_Action,0.11142177029756185,6.005040310628228e-35,8.569275132141934e-39,5.2953150817075784e-55,1.3132415874721261e-162,0.0,0.0,0.0,2.945847065149583e-228,0.0,0.0,0.0,1.5810153161585384e-22,7.311981558949219e-42,2.1474879343967406e-18,6.943905720791147e-57,7.769617901722141e-60,5.775221305333814e-108,0.5658834082123679,0.004639285298799368
V2_Lane_Nu,1.0915557838404372e-80,9.677476215627676e-33,0.0,0.10514826384181857,0.5779591064136216,4.463434187776455e-308,0.0,2.945847065149583e-228,0.0,0.0,6.855228621808035e-35,0.22891707109029996,9.341899554509281e-05,0.028625715813352628,0.17689135483516485,3.991103097146273e-266,1.2049172092289401e-19,4.7809976011032174e-31,0.3524183055199782,8.661423457439779e-09
V2_Driver_,8.33269129432832e-05,1.4068583446848457e-12,2.0580959879025003e-142,8.052609247933922e-10,2.424684252612529e-20,0.0,0.0,0.0,0.0,0.0,1.2058088726809366e-268,2.07591799342339e-114,3.059537017229759e-139,6.862803422440919e-174,1.0795587284716902e-137,4.3273520146600855e-260,1.527408838519262e-39,1.0878327235487663e-70,0.9025137684295756,0.013211747355314333
Total_Vehi,0.0021553686387594424,6.88426467219622e-17,0.01664150185748028,5.615994101688506e-18,1.646526112983451e-27,0.0,0.0,0.0,6.855228621807838e-35,1.2058088726809366e-268,0.0,1.1581837167591206e-74,6.932732575106629e-09,1.7246049451963294e-17,7.768914930625664e-18,1.1847569626346347e-76,2.9287683651472922e-43,4.0521719376907045e-79,0.8201088644193578,0.09442552335522852
Fatalities,9.276441260701207e-121,0.004340877027147124,5.418342004813778e-24,2.889944796843039e-28,3.875544770575582e-113,0.0,2.578774417714347e-24,0.0,0.22891707109029996,2.0759179934236264e-114,1.1581837167590217e-74,0.0,2.5333217971271047e-113,1.7062301028318317e-163,5.453409394621443e-121,1.653598462007676e-27,7.727467347844416e-10,2.268241411456934e-30,0.0012259413723697409,0.7379770627315569
Injury_Typ,4.1397671268938105e-07,7.308248719170267e-25,0.00036041817688093627,3.9017300686960854e-17,1.8181489363820068e-35,2.1635438277111333e-40,7.240961831640333e-05,1.5810153161585384e-22,9.341899554509281e-05,3.0595370172294105e-139,6.932732575106629e-09,2.5333217971269602e-113,0.0,0.0,0.0,2.1752341748006084e-54,3.583989139081247e-13,7.598187164356375e-20,7.172081489231918e-10,3.5602051535930304e-05
Injured,1.1232675514193168e-12,4.836068500466211e-22,0.05154665588972658,8.026161611311686e-19,8.935071260304457e-40,4.990090391210956e-56,3.14193878788297e-05,7.311981558949009e-42,0.02862571581335259,6.8628034224409195e-174,1.7246049451963294e-17,1.7062301028318317e-163,0.0,0.0,0.0,3.014487083994024e-42,2.917090265737224e-11,6.904531259679203e-23,1.51919574022462e-15,4.687140469205274e-06
Property_D,6.723924391858996e-11,4.61849656322439e-22,0.01748513944822311,1.0957335643790235e-14,1.9961100078934776e-31,1.697105662548755e-26,0.27186584941394354,2.1474879343967406e-18,0.17689135483516485,1.0795587284716902e-137,7.768914930625664e-18,5.453409394621443e-121,0.0,0.0,0.0,7.260802394440012e-33,3.682087027450114e-24,7.162138968716888e-51,1.0963777789515932e-33,0.002532752358861797
Crash_Type,1.200923958789846e-16,0.0,3.148860171605699e-108,1.6635700410098426e-23,3.574128281717729e-28,0.0,0.0,6.943905720791147e-57,3.99110309714582e-266,4.3273520146600855e-260,1.1847569626345332e-76,1.653598462007676e-27,2.1752341748006084e-54,3.014487083994024e-42,7.260802394440012e-33,0.0,4.125562023687122e-15,1.0175719457490947e-46,0.00012135652634866774,0.00468910628564481
Pedalcycli,0.0002520770253583537,0.0023005169204402686,0.008821635595985035,0.18487399980712263,1.0294871487054886e-05,2.975388396007701e-80,3.551462187822165e-52,7.769617901722141e-60,1.2049172092289401e-19,1.527408838519262e-39,2.9287683651472922e-43,7.727467347844358e-10,3.583989139081247e-13,2.917090265737224e-11,3.682087027450114e-24,4.125562023687167e-15,0.0,0.4398763392206151,0.12672687980366604,0.9097888835342753
Pedestrian,5.390890523099474e-11,0.08588014758902289,0.48750235746434445,0.05838184782270549,0.0001892052531042108,1.8749316393858931e-153,5.27691092753498e-96,5.7752213053344705e-108,4.7809976011032174e-31,1.0878327235487974e-70,4.0521719376907045e-79,2.268241411456804e-30,7.598187164356375e-20,6.904531259679203e-23,7.162138968716888e-51,1.0175719457490947e-46,0.4398763392206151,0.0,0.026235746770047738,0.03482455938652621
Motorcycli,0.10863456874323957,0.006070873888191556,0.09115950656727212,0.3480137237724248,0.7055743298891491,0.0015094466003260831,0.028116855177751084,0.5658834082123679,0.3524183055199782,0.9025137684295756,0.8201088644193578,0.0012259413723697409,7.172081489231918e-10,1.51919574022462e-15,1.0963777789515932e-33,0.00012135652634866774,0.1267268798036659,0.02623574677004771,0.0,2.0527815846506852e-35
V1_Type,0.9496306962819911,0.009122792758303331,4.718945740943167e-10,1.5353854021291712e-54,2.5141192715271714e-29,0.12706450838463498,0.32990450366498747,0.004639285298799368,8.661423457439779e-09,0.013211747355314357,0.09442552335522861,0.7379770627315569,3.5602051535930304e-05,4.6871404692052985e-06,0.0025327523588617915,0.00468910628564481,0.9097888835342753,0.03482455938652617,2.0527815846506852e-35,0.0
