,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,0.9999999999999999,0.06351044360858409,-0.12114480472631044,0.07190394003092856,0.01850826435207449,0.010903467278728448,0.424949045970945,0.014114826995708936,-0.16749627130157188,-0.034879499758949765,-0.027199832587158076,0.20500085674491578,-0.04486815252785773,0.06302472566010417,0.05782671281969918,0.07335036026442873,0.03244759533021839,0.058118870953257025,0.01422588084347229,0.0005601621303046037
V1_Action,0.06351044360858409,1.0,-0.11113368374440742,0.02755574010180304,-0.034043665686237234,0.03700678379578119,0.06444806222372075,-0.10903751197062014,-0.10537724854040391,-0.06274962176009426,-0.07393308273820097,0.025288303071238298,0.0911136964598884,-0.08542930416017691,-0.08547091724542336,0.4094594424482744,0.027026757143770643,0.01522934984238284,0.024328070093864295,0.023118078818236586
V1_Lane_Nu,-0.12114480472631042,-0.11113368374440742,1.0,0.0015094690054449607,0.054455861121416295,-0.13032834769358187,-0.19517769580223518,-0.11513384857892216,0.8273851146862036,0.22247501794779484,0.021231035636538997,-0.08939874961263278,-0.03162664706642011,0.017262772223179207,0.02106979354722511,-0.1941056846205154,-0.023219766770278746,-0.006156500649766121,0.014979069282759992,0.05518600696932479
V1_Driver1,0.07190394003092856,0.02755574010180304,0.0015094690054449607,1.0,0.28310696075629627,0.1896614662572695,0.12124169158386788,0.13785065910774563,-0.014368009058280132,-0.05444025719710925,0.0765034951855428,-0.09753201924691283,0.07452310007755604,-0.07844155742550668,-0.06844400695996831,0.08842399954275695,-0.011756924388652286,0.016783316803067713,-0.00832151260781072,0.13725605909148483
V1_Vehicle,0.01850826435207449,-0.034043665686237234,0.054455861121416295,0.2831069607562963,1.0,0.18626312015474975,0.08852914606743742,0.23750956367686005,-0.004933542339028899,-0.08181354037958953,0.09614378738893542,-0.1984515585301743,0.10988009424424791,-0.11663859485559734,-0.10313528117153067,0.09736355787488687,0.039098386571287704,0.03309324025951077,0.003350173943352304,0.0994474476716402
V2_Driver1,0.010903467278728448,0.0370067837957812,-0.13032834769358187,0.1896614662572695,0.18626312015474975,1.0,0.6339221460581431,0.6596474238660598,-0.32370292819249924,-0.5820607753289478,0.4792660620419204,-0.36000588866530253,0.11757256587495155,-0.13916057720402678,-0.09425043206221391,0.4073499747536226,0.16703932193098797,0.23082883451375347,0.028129645699522088,0.013529176001387373
V2_Dir,0.42494904597094507,0.06444806222372075,-0.19517769580223518,0.12124169158386788,0.08852914606743743,0.6339221460581431,1.0,0.48745193091866856,-0.38011043932836974,-0.44264842912494456,0.3444928981870286,-0.09003813317759658,0.03517718743871486,-0.036902006671617,-0.009743117142958712,0.34906579181978303,0.1341730333899882,0.18280331428422833,0.01946800704059394,-0.00863945823876133
V2_Action,0.014114826995708936,-0.10903751197062014,-0.11513384857892214,0.13785065910774563,0.23750956367686007,0.6596474238660598,0.48745193091866856,1.0,-0.2802728152247884,-0.4278995054374493,0.416326181378435,-0.34412855699815664,0.08643435781127691,-0.11977335172146247,-0.07746712520898527,0.14024466231675725,0.14391548127820142,0.19386956260152605,-0.00509099367233883,0.02510042114732931
V2_Lane_Nu,-0.16749627130157188,-0.10537724854040391,0.8273851146862036,-0.014368009058280133,-0.004933542339028899,-0.32370292819249924,-0.38011043932836974,-0.2802728152247884,1.0,0.3558563468934061,-0.10894372638420147,-0.010668605865546632,-0.03463545504745717,0.01940551628898851,0.011974084878521783,-0.30181274658818374,-0.08028610965972727,-0.10247907375369766,-0.00824578681553419,0.05099948701298764
V2_Driver_,-0.034879499758949765,-0.06274962176009426,0.22247501794779484,-0.05444025719710925,-0.08181354037958954,-0.5820607753289478,-0.44264842912494456,-0.4278995054374493,0.3558563468934061,1.0,-0.3031818243089597,0.19956008216458415,-0.2200099432031516,0.24546439327987835,0.2187962424863637,-0.29850308045220586,-0.116283514544619,-0.15665233075874715,0.0010861431875442277,0.021970995973171602
Total_Vehi,-0.027199832587158072,-0.07393308273820097,0.021231035636539,0.0765034951855428,0.0961437873889354,0.4792660620419204,0.3444928981870286,0.416326181378435,-0.10894372638420148,-0.3031818243089597,1.0,-0.1610526766534116,-0.05133129504546364,0.0753634676033148,0.07617548820974264,0.1632103701735536,0.12182628738693406,0.1658430964993017,0.002016501812184901,0.014830018557688552
Fatalities,0.20500085674491575,0.025288303071238298,-0.08939874961263276,-0.09753201924691283,-0.19845155853017427,-0.3600058886653025,-0.09003813317759658,-0.34412855699815664,-0.010668605865546632,0.19956008216458412,-0.16105267665341164,1.0,-0.1986129961706169,0.238145282195757,0.20519560313774862,-0.09614034299203715,-0.05449811946934079,-0.10129875824139262,-0.02866060608496927,0.002966454595906627
Injury_Typ,-0.04486815252785773,0.0911136964598884,-0.03162664706642011,0.07452310007755604,0.1098800942442479,0.11757256587495155,0.035177187438714855,0.08643435781127691,-0.03463545504745717,-0.22000994320315162,-0.05133129504546364,-0.19861299617061692,0.9999999999999999,-0.8952397035527213,-0.9487647298984204,0.13706090862690623,-0.06440311726932418,-0.08072831086046262,-0.054602681180350096,0.03664851652515954
Injured,0.06302472566010417,-0.08542930416017691,0.017262772223179207,-0.0784415574255067,-0.11663859485559733,-0.13916057720402678,-0.036902006671617,-0.11977335172146249,0.019405516288988515,0.24546439327987832,0.0753634676033148,0.238145282195757,-0.8952397035527212,0.9999999999999999,0.9473932728727656,-0.12034227860487767,0.05892352897157969,0.08717167498311659,0.07063295870608144,-0.04058138055741356
Property_D,0.05782671281969918,-0.08547091724542336,0.02106979354722511,-0.06844400695996831,-0.10313528117153067,-0.0942504320622139,-0.009743117142958712,-0.07746712520898527,0.011974084878521783,0.2187962424863637,0.07617548820974264,0.20519560313774862,-0.9487647298984204,0.9473932728727656,0.9999999999999999,-0.10558758308157626,0.08973198813445481,0.1324401075174,0.10696115715423787,-0.026769611044047376
Crash_Type,0.07335036026442873,0.4094594424482744,-0.1941056846205154,0.08842399954275695,0.09736355787488689,0.4073499747536226,0.34906579181978303,0.14024466231675725,-0.3018127465881838,-0.29850308045220586,0.16321037017355364,-0.09614034299203715,0.1370609086269062,-0.12034227860487767,-0.10558758308157627,1.0,0.06953461446360133,0.1267625333600226,0.03407102286943875,0.02507012498594277
