,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
V1_Dir,1.0,0.41332432027932287,0.37537619745408307,0.34567027237137854,0.4774326420502416,0.29299813147393894,0.7584354794551619,0.4418335379624052,0.3361574548689162,0.4495970895066146,0.3102952681668933,0.5690838512882583,0.46333209875684694,0.4385723079171507,0.4451491745167315,0.5189127620012819,0.07701290214130523,0.1160620991379393,0.09498630971071738,0.4524501953704031
V1_Action,0.41332432027932287,1.0,0.24387877342511446,0.26434325853298757,0.2793871364945415,0.24712046694632456,0.42638078599296314,0.20810917972817616,0.2367188349577908,0.348595845989235,0.21235954175043797,0.42293015058704875,0.42660850639304876,0.29726499399526746,0.3006106290490848,0.6477416489170504,0.06278046817182026,0.07610702607916624,0.08990281134373412,0.3723473966009978
V1_Lane_Nu,0.37537619745408307,0.24387877342511446,1.0,0.28594199618676963,0.5081642679693672,0.16035571158832584,0.35468237468711783,0.3497938432420119,0.8982127522600518,0.5652963996593678,0.279856374097724,0.43911927201403367,0.37420405699261877,0.38491110537087797,0.3894313073940778,0.24632987662062192,0.0373199930637822,0.07783449569986575,0.0908922802483037,0.41440105884512024
V1_Driver1,0.34567027237137854,0.26434325853298757,0.28594199618676963,0.9999999999999999,0.4699532274819684,0.35120352090932183,0.38069784789306016,0.38053766744672335,0.26322519305861924,0.28495087936292324,0.2960906233536896,0.29263746043418337,0.3695862654896839,0.2397758107505994,0.24690277012046147,0.35056967588323606,0.027618410421888957,0.06746143935534774,0.05406632829130308,0.35375351009877076
V1_Vehicle,0.4774326420502416,0.2793871364945415,0.5081642679693672,0.4699532274819684,1.0,0.3888402638298878,0.5171679010355079,0.6166232276260989,0.4790591934091387,0.47061660749178713,0.409476465122873,0.3623451137726754,0.57413678547217,0.3469786092920807,0.3581850219172644,0.3223714372246599,0.05685478204507524,0.06891637908149932,0.08482628801266756,0.5292490810083981
V2_Driver1,0.29299813147393894,0.24712046694632456,0.16035571158832584,0.35120352090932183,0.3888402638298878,1.0,0.521659231726284,0.581858616959003,-0.002110758561397554,-0.1490991632365752,0.6412798607457088,-0.01841219309805807,0.37628884318933936,0.17425275108368823,0.18813797076947603,0.4948435019429553,0.1916559229603041,0.2646915253215988,0.07821247512577353,0.2772648371719978
V2_Dir,0.7584354794551619,0.42638078599296314,0.35468237468711783,0.38069784789306016,0.5171679010355079,0.521659231726284,1.0,0.5727851242080011,0.2588164048886349,0.25761835963409807,0.46421822425565373,0.3420385949745226,0.5109727053860522,0.42378499901781747,0.43629079394844184,0.6128681071423627,0.1113221478898744,0.1561373146670224,0.09830421907034112,0.46170501031870137
V2_Action,0.4418335379624052,0.20810917972817616,0.3497938432420119,0.38053766744672335,0.6166232276260989,0.581858616959003,0.5727851242080011,1.0,0.2593537585501572,0.21431539055293491,0.5276411977057931,0.20835463314151367,0.4819699589703623,0.335205686170327,0.34848589240593963,0.3494685221476712,0.12607504972325978,0.1755409135912177,0.0661543366160392,0.4388199922974482
V2_Lane_Nu,0.3361574548689162,0.2367188349577908,0.8982127522600518,0.26322519305861924,0.4790591934091387,-0.002110758561397554,0.2588164048886349,0.2593537585501572,1.0,0.6463904407794041,0.1537481086222609,0.4870704467829009,0.3496275441806981,0.3705953597740924,0.37263539209550967,0.16305547478368634,-0.01559291967421484,-0.009783881554947658,0.06971809094677284,0.40207774607367275
V2_Driver_,0.4495970895066146,0.348595845989235,0.5652963996593678,0.28495087936292324,0.47061660749178713,-0.1490991632365752,0.25761835963409807,0.21431539055293491,0.6463904407794041,1.0,0.07278923556561945,0.6627155866484145,0.3180832935873743,0.5589567638897714,0.5606344302924211,0.27345482722498116,-0.02580656614123165,-0.02959659689512903,0.08881934506688172,0.4735692522965356
